Step,Current,VCell1,AhCha,AhDch
2.0,0.0,2.90974,0.0,0.0
4.0,0.0,2.90974,0.0,0.0
5.0,0.0,2.90958,0.0,0.0
5.0,0.0,2.90974,0.0,0.0
5.0,0.0,2.90942,0.0,0.0
5.0,0.0,2.90974,0.0,0.0
5.0,0.0,2.90991,0.0,0.0
5.0,0.0,2.90974,0.0,0.0
5.0,0.0,2.91007,0.0,0.0
5.0,0.0,2.91007,0.0,0.0
5.0,0.0,2.90958,0.0,0.0
5.0,0.0,2.90958,0.0,0.0
5.0,0.0,2.90991,0.0,0.0
5.0,0.0,2.90991,0.0,0.0
5.0,0.0,2.91007,0.0,0.0
5.0,0.0,2.90974,0.0,0.0
5.0,0.0,2.90991,0.0,0.0
5.0,0.0,2.90991,0.0,0.0
5.0,0.0,2.90991,0.0,0.0
5.0,0.0,2.91007,0.0,0.0
5.0,0.0,2.91023,0.0,0.0
5.0,0.0,2.91023,0.0,0.0
5.0,0.0,2.91023,0.0,0.0
5.0,0.0,2.91039,0.0,0.0
5.0,0.0,2.91039,0.0,0.0
5.0,0.0,2.91023,0.0,0.0
5.0,0.0,2.91023,0.0,0.0
5.0,0.0,2.91023,0.0,0.0
5.0,0.0,2.91071,0.0,0.0
5.0,0.0,2.91007,0.0,0.0
5.0,0.0,2.91023,0.0,0.0
5.0,0.0,2.91023,0.0,0.0
5.0,0.0,2.91055,0.0,0.0
5.0,0.0,2.91055,0.0,0.0
5.0,0.0,2.91039,0.0,0.0
5.0,0.0,2.91039,0.0,0.0
5.0,0.0,2.91071,0.0,0.0
5.0,0.0,2.91088,0.0,0.0
5.0,0.0,2.91071,0.0,0.0
5.0,0.0,2.91071,0.0,0.0
5.0,0.0,2.91088,0.0,0.0
5.0,0.0,2.91071,0.0,0.0
5.0,0.0,2.91071,0.0,0.0
5.0,0.0,2.91071,0.0,0.0
5.0,0.0,2.91088,0.0,0.0
5.0,0.0,2.91071,0.0,0.0
5.0,0.0,2.91088,0.0,0.0
5.0,0.0,2.91104,0.0,0.0
5.0,0.0,2.91088,0.0,0.0
5.0,0.0,2.91088,0.0,0.0
5.0,0.0,2.91071,0.0,0.0
5.0,0.0,2.91088,0.0,0.0
5.0,0.0,2.91104,0.0,0.0
5.0,0.0,2.91104,0.0,0.0
5.0,0.0,2.91136,0.0,0.0
5.0,0.0,2.91136,0.0,0.0
5.0,0.0,2.91152,0.0,0.0
5.0,0.0,2.91136,0.0,0.0
5.0,0.0,2.91104,0.0,0.0
5.0,0.0,2.91104,0.0,0.0
5.0,0.0,2.91088,0.0,0.0
5.0,0.0,2.91104,0.0,0.0
5.0,0.0,2.91136,0.0,0.0
5.0,0.0,2.91136,0.0,0.0
5.0,0.0,2.9112,0.0,0.0
5.0,0.0,2.91152,0.0,0.0
5.0,0.0,2.91168,0.0,0.0
5.0,0.0,2.91168,0.0,0.0
5.0,0.0,2.91152,0.0,0.0
5.0,0.0,2.91152,0.0,0.0
5.0,0.0,2.91168,0.0,0.0
5.0,0.0,2.91136,0.0,0.0
5.0,0.0,2.91168,0.0,0.0
5.0,0.0,2.91168,0.0,0.0
5.0,0.0,2.91168,0.0,0.0
5.0,0.0,2.91185,0.0,0.0
5.0,0.0,2.91201,0.0,0.0
5.0,0.0,2.91168,0.0,0.0
5.0,0.0,2.91185,0.0,0.0
5.0,0.0,2.91185,0.0,0.0
5.0,0.0,2.91185,0.0,0.0
5.0,0.0,2.91217,0.0,0.0
5.0,0.0,2.91217,0.0,0.0
5.0,0.0,2.91201,0.0,0.0
5.0,0.0,2.91233,0.0,0.0
5.0,0.0,2.91185,0.0,0.0
5.0,0.0,2.91185,0.0,0.0
5.0,0.0,2.91201,0.0,0.0
5.0,0.0,2.91201,0.0,0.0
5.0,0.0,2.91217,0.0,0.0
5.0,0.0,2.91201,0.0,0.0
5.0,0.0,2.91217,0.0,0.0
5.0,0.0,2.91201,0.0,0.0
5.0,0.0,2.91201,0.0,0.0
5.0,0.0,2.91233,0.0,0.0
5.0,0.0,2.91282,0.0,0.0
5.0,0.0,2.91249,0.0,0.0
5.0,0.0,2.91265,0.0,0.0
5.0,0.0,2.91265,0.0,0.0
5.0,0.0,2.91265,0.0,0.0
5.0,0.0,2.91282,0.0,0.0
5.0,0.0,2.91265,0.0,0.0
5.0,0.0,2.91282,0.0,0.0
5.0,0.0,2.91298,0.0,0.0
5.0,0.0,2.91265,0.0,0.0
5.0,0.0,2.91282,0.0,0.0
5.0,0.0,2.91282,0.0,0.0
5.0,0.0,2.91265,0.0,0.0
5.0,0.0,2.91249,0.0,0.0
5.0,0.0,2.91249,0.0,0.0
5.0,0.0,2.91298,0.0,0.0
5.0,0.0,2.91298,0.0,0.0
5.0,0.0,2.91298,0.0,0.0
5.0,0.0,2.91314,0.0,0.0
5.0,0.0,2.9133,0.0,0.0
5.0,0.0,2.9133,0.0,0.0
5.0,0.0,2.91298,0.0,0.0
5.0,0.0,2.91314,0.0,0.0
5.0,0.0,2.91314,0.0,0.0
5.0,0.0,2.91298,0.0,0.0
5.0,0.0,2.91362,0.0,0.0
5.0,0.0,2.9133,0.0,0.0
5.0,0.0,2.9133,0.0,0.0
5.0,0.0,2.91346,0.0,0.0
5.0,0.0,2.91346,0.0,0.0
5.0,0.0,2.91314,0.0,0.0
5.0,0.0,2.91346,0.0,0.0
5.0,0.0,2.91362,0.0,0.0
5.0,0.0,2.9133,0.0,0.0
5.0,0.0,2.9133,0.0,0.0
5.0,0.0,2.91346,0.0,0.0
5.0,0.0,2.91379,0.0,0.0
5.0,0.0,2.91379,0.0,0.0
5.0,0.0,2.91379,0.0,0.0
5.0,0.0,2.91362,0.0,0.0
5.0,0.0,2.91362,0.0,0.0
5.0,0.0,2.91379,0.0,0.0
5.0,0.0,2.91395,0.0,0.0
5.0,0.0,2.91395,0.0,0.0
5.0,0.0,2.91362,0.0,0.0
5.0,0.0,2.91362,0.0,0.0
5.0,0.0,2.91346,0.0,0.0
5.0,0.0,2.91395,0.0,0.0
5.0,0.0,2.91395,0.0,0.0
5.0,0.0,2.91427,0.0,0.0
5.0,0.0,2.91427,0.0,0.0
5.0,0.0,2.91395,0.0,0.0
5.0,0.0,2.91411,0.0,0.0
5.0,0.0,2.91395,0.0,0.0
5.0,0.0,2.91443,0.0,0.0
5.0,0.0,2.91427,0.0,0.0
5.0,0.0,2.91411,0.0,0.0
5.0,0.0,2.91443,0.0,0.0
5.0,0.0,2.91427,0.0,0.0
5.0,0.0,2.91411,0.0,0.0
5.0,0.0,2.91443,0.0,0.0
5.0,0.0,2.91427,0.0,0.0
5.0,0.0,2.91443,0.0,0.0
5.0,0.0,2.91476,0.0,0.0
5.0,0.0,2.91459,0.0,0.0
5.0,0.0,2.91427,0.0,0.0
5.0,0.0,2.91427,0.0,0.0
5.0,0.0,2.91476,0.0,0.0
5.0,0.0,2.91476,0.0,0.0
5.0,0.0,2.91443,0.0,0.0
5.0,0.0,2.91459,0.0,0.0
5.0,0.0,2.91443,0.0,0.0
5.0,0.0,2.91476,0.0,0.0
5.0,0.0,2.91476,0.0,0.0
5.0,0.0,2.91443,0.0,0.0
5.0,0.0,2.91459,0.0,0.0
5.0,0.0,2.91492,0.0,0.0
5.0,0.0,2.91508,0.0,0.0
5.0,0.0,2.91459,0.0,0.0
5.0,0.0,2.91492,0.0,0.0
5.0,0.0,2.91508,0.0,0.0
5.0,0.0,2.91492,0.0,0.0
5.0,0.0,2.91492,0.0,0.0
5.0,0.0,2.91508,0.0,0.0
5.0,0.0,2.91492,0.0,0.0
5.0,0.0,2.91492,0.0,0.0
5.0,0.0,2.91492,0.0,0.0
