Step,Current,VCell1,AhCha,AhDch
2.0,0.0,3.71226,0.0,0.0
4.0,0.0,3.7121,0.0,0.0
5.0,0.0,3.71194,0.0,0.0
5.0,0.0,3.71145,0.0,0.0
5.0,0.0,3.71145,0.0,0.0
5.0,0.0,3.71129,0.0,0.0
5.0,0.0,3.71097,0.0,0.0
5.0,0.0,3.71048,0.0,0.0
5.0,0.0,3.71064,0.0,0.0
5.0,0.0,3.71048,0.0,0.0
5.0,0.0,3.71,0.0,0.0
5.0,0.0,3.70984,0.0,0.0
5.0,0.0,3.71,0.0,0.0
5.0,0.0,3.70951,0.0,0.0
5.0,0.0,3.70984,0.0,0.0
5.0,0.0,3.70967,0.0,0.0
5.0,0.0,3.70951,0.0,0.0
5.0,0.0,3.70935,0.0,0.0
5.0,0.0,3.70903,0.0,0.0
5.0,0.0,3.70887,0.0,0.0
5.0,0.0,3.70887,0.0,0.0
5.0,0.0,3.7087,0.0,0.0
5.0,0.0,3.70854,0.0,0.0
5.0,0.0,3.70838,0.0,0.0
5.0,0.0,3.70806,0.0,0.0
5.0,0.0,3.70773,0.0,0.0
5.0,0.0,3.70773,0.0,0.0
5.0,0.0,3.70757,0.0,0.0
5.0,0.0,3.70757,0.0,0.0
5.0,0.0,3.70741,0.0,0.0
5.0,0.0,3.70757,0.0,0.0
5.0,0.0,3.70741,0.0,0.0
5.0,0.0,3.70725,0.0,0.0
5.0,0.0,3.7066,0.0,0.0
5.0,0.0,3.70693,0.0,0.0
5.0,0.0,3.70676,0.0,0.0
5.0,0.0,3.70628,0.0,0.0
5.0,0.0,3.70644,0.0,0.0
5.0,0.0,3.70628,0.0,0.0
5.0,0.0,3.70579,0.0,0.0
5.0,0.0,3.70596,0.0,0.0
5.0,0.0,3.70563,0.0,0.0
5.0,0.0,3.70547,0.0,0.0
5.0,0.0,3.70563,0.0,0.0
5.0,0.0,3.70531,0.0,0.0
5.0,0.0,3.70547,0.0,0.0
5.0,0.0,3.70466,0.0,0.0
5.0,0.0,3.70482,0.0,0.0
5.0,0.0,3.70466,0.0,0.0
5.0,0.0,3.7045,0.0,0.0
5.0,0.0,3.70482,0.0,0.0
5.0,0.0,3.70466,0.0,0.0
5.0,0.0,3.70418,0.0,0.0
