Step,Current,VCell1,AhCha,AhDch
2.0,0.0,2.95306,0.0,0.0
4.0,0.0,2.9529,0.0,0.0
5.0,0.0,2.95322,0.0,0.0
5.0,0.0,2.95306,0.0,0.0
5.0,0.0,2.95306,0.0,0.0
5.0,0.0,2.95322,0.0,0.0
5.0,0.0,2.95339,0.0,0.0
5.0,0.0,2.95322,0.0,0.0
5.0,0.0,2.9529,0.0,0.0
5.0,0.0,2.95355,0.0,0.0
5.0,0.0,2.95306,0.0,0.0
5.0,0.0,2.9529,0.0,0.0
5.0,0.0,2.95339,0.0,0.0
5.0,0.0,2.95339,0.0,0.0
5.0,0.0,2.95322,0.0,0.0
5.0,0.0,2.95339,0.0,0.0
5.0,0.0,2.95339,0.0,0.0
5.0,0.0,2.95322,0.0,0.0
5.0,0.0,2.95322,0.0,0.0
5.0,0.0,2.95306,0.0,0.0
5.0,0.0,2.95306,0.0,0.0
5.0,0.0,2.9529,0.0,0.0
5.0,0.0,2.95339,0.0,0.0
5.0,0.0,2.95339,0.0,0.0
5.0,0.0,2.95306,0.0,0.0
5.0,0.0,2.95339,0.0,0.0
5.0,0.0,2.95339,0.0,0.0
5.0,0.0,2.95339,0.0,0.0
5.0,0.0,2.95339,0.0,0.0
5.0,0.0,2.95322,0.0,0.0
5.0,0.0,2.95322,0.0,0.0
5.0,0.0,2.95322,0.0,0.0
5.0,0.0,2.95355,0.0,0.0
5.0,0.0,2.95306,0.0,0.0
5.0,0.0,2.95322,0.0,0.0
5.0,0.0,2.95339,0.0,0.0
5.0,0.0,2.95339,0.0,0.0
5.0,0.0,2.95322,0.0,0.0
5.0,0.0,2.95322,0.0,0.0
5.0,0.0,2.95306,0.0,0.0
5.0,0.0,2.95306,0.0,0.0
5.0,0.0,2.95322,0.0,0.0
5.0,0.0,2.95306,0.0,0.0
5.0,0.0,2.95306,0.0,0.0
5.0,0.0,2.95322,0.0,0.0
5.0,0.0,2.95339,0.0,0.0
5.0,0.0,2.95339,0.0,0.0
5.0,0.0,2.95339,0.0,0.0
5.0,0.0,2.95355,0.0,0.0
5.0,0.0,2.95322,0.0,0.0
5.0,0.0,2.95339,0.0,0.0
5.0,0.0,2.95322,0.0,0.0
5.0,0.0,2.95322,0.0,0.0
5.0,0.0,2.95306,0.0,0.0
5.0,0.0,2.95306,0.0,0.0
5.0,0.0,2.95306,0.0,0.0
5.0,0.0,2.9529,0.0,0.0
5.0,0.0,2.95322,0.0,0.0
5.0,0.0,2.95322,0.0,0.0
5.0,0.0,2.95322,0.0,0.0
5.0,0.0,2.95322,0.0,0.0
5.0,0.0,2.95355,0.0,0.0
5.0,0.0,2.95322,0.0,0.0
5.0,0.0,2.95306,0.0,0.0
5.0,0.0,2.95322,0.0,0.0
5.0,0.0,2.95339,0.0,0.0
5.0,0.0,2.95355,0.0,0.0
5.0,0.0,2.95339,0.0,0.0
5.0,0.0,2.95339,0.0,0.0
5.0,0.0,2.95339,0.0,0.0
5.0,0.0,2.95339,0.0,0.0
5.0,0.0,2.95339,0.0,0.0
