Step,Current,VCell1,AhCha,AhDch
2.0,0.0,3.66409,0.0,0.0
4.0,0.0,3.66393,0.0,0.0
5.0,0.0,3.66393,0.0,0.0
5.0,0.0,3.66377,0.0,0.0
5.0,0.0,3.66345,0.0,0.0
5.0,0.0,3.66393,0.0,0.0
5.0,0.0,3.66393,0.0,0.0
5.0,0.0,3.66345,0.0,0.0
5.0,0.0,3.66361,0.0,0.0
5.0,0.0,3.66345,0.0,0.0
5.0,0.0,3.66312,0.0,0.0
5.0,0.0,3.66296,0.0,0.0
5.0,0.0,3.66345,0.0,0.0
5.0,0.0,3.66328,0.0,0.0
5.0,0.0,3.66328,0.0,0.0
5.0,0.0,3.66296,0.0,0.0
5.0,0.0,3.66312,0.0,0.0
5.0,0.0,3.66296,0.0,0.0
5.0,0.0,3.66312,0.0,0.0
5.0,0.0,3.6628,0.0,0.0
5.0,0.0,3.66312,0.0,0.0
5.0,0.0,3.66312,0.0,0.0
5.0,0.0,3.66296,0.0,0.0
5.0,0.0,3.66296,0.0,0.0
5.0,0.0,3.66264,0.0,0.0
5.0,0.0,3.6628,0.0,0.0
5.0,0.0,3.6628,0.0,0.0
5.0,0.0,3.6628,0.0,0.0
5.0,0.0,3.66312,0.0,0.0
5.0,0.0,3.66248,0.0,0.0
5.0,0.0,3.66264,0.0,0.0
5.0,0.0,3.66264,0.0,0.0
5.0,0.0,3.66264,0.0,0.0
5.0,0.0,3.66248,0.0,0.0
5.0,0.0,3.66248,0.0,0.0
5.0,0.0,3.66248,0.0,0.0
5.0,0.0,3.66248,0.0,0.0
5.0,0.0,3.66231,0.0,0.0
5.0,0.0,3.66215,0.0,0.0
5.0,0.0,3.66248,0.0,0.0
5.0,0.0,3.66215,0.0,0.0
5.0,0.0,3.66199,0.0,0.0
5.0,0.0,3.66183,0.0,0.0
5.0,0.0,3.66215,0.0,0.0
5.0,0.0,3.66199,0.0,0.0
5.0,0.0,3.66183,0.0,0.0
