Step,Current,VCell1,AhCha,AhDch
2.0,0.0,2.84687,0.0,0.0
5.0,0.0,2.84703,0.0,0.0
5.0,0.0,2.84687,0.0,0.0
5.0,0.0,2.84687,0.0,0.0
5.0,0.0,2.84703,0.0,0.0
5.0,0.0,2.84703,0.0,0.0
5.0,0.0,2.84687,0.0,0.0
5.0,0.0,2.84735,0.0,0.0
5.0,0.0,2.84735,0.0,0.0
5.0,0.0,2.84687,0.0,0.0
5.0,0.0,2.84687,0.0,0.0
5.0,0.0,2.84687,0.0,0.0
5.0,0.0,2.84687,0.0,0.0
5.0,0.0,2.84671,0.0,0.0
5.0,0.0,2.84719,0.0,0.0
5.0,0.0,2.84671,0.0,0.0
5.0,0.0,2.84719,0.0,0.0
5.0,0.0,2.84655,0.0,0.0
5.0,0.0,2.84671,0.0,0.0
5.0,0.0,2.84655,0.0,0.0
5.0,0.0,2.84703,0.0,0.0
5.0,0.0,2.84687,0.0,0.0
5.0,0.0,2.84671,0.0,0.0
5.0,0.0,2.84671,0.0,0.0
5.0,0.0,2.84671,0.0,0.0
5.0,0.0,2.84638,0.0,0.0
5.0,0.0,2.84671,0.0,0.0
5.0,0.0,2.84687,0.0,0.0
5.0,0.0,2.84671,0.0,0.0
5.0,0.0,2.84687,0.0,0.0
5.0,0.0,2.84671,0.0,0.0
5.0,0.0,2.84655,0.0,0.0
5.0,0.0,2.84638,0.0,0.0
5.0,0.0,2.84687,0.0,0.0
5.0,0.0,2.84638,0.0,0.0
5.0,0.0,2.84655,0.0,0.0
5.0,0.0,2.84638,0.0,0.0
5.0,0.0,2.84638,0.0,0.0
5.0,0.0,2.84622,0.0,0.0
5.0,0.0,2.84622,0.0,0.0
5.0,0.0,2.84622,0.0,0.0
5.0,0.0,2.84622,0.0,0.0
5.0,0.0,2.84606,0.0,0.0
5.0,0.0,2.84606,0.0,0.0
5.0,0.0,2.84622,0.0,0.0
5.0,0.0,2.84638,0.0,0.0
5.0,0.0,2.84606,0.0,0.0
5.0,0.0,2.84606,0.0,0.0
5.0,0.0,2.84622,0.0,0.0
5.0,0.0,2.8459,0.0,0.0
5.0,0.0,2.8459,0.0,0.0
5.0,0.0,2.8459,0.0,0.0
5.0,0.0,2.8459,0.0,0.0
5.0,0.0,2.8459,0.0,0.0
5.0,0.0,2.8459,0.0,0.0
5.0,0.0,2.8459,0.0,0.0
5.0,0.0,2.84574,0.0,0.0
5.0,0.0,2.8459,0.0,0.0
5.0,0.0,2.84574,0.0,0.0
5.0,0.0,2.84574,0.0,0.0
5.0,0.0,2.84558,0.0,0.0
5.0,0.0,2.84574,0.0,0.0
5.0,0.0,2.84558,0.0,0.0
5.0,0.0,2.84574,0.0,0.0
5.0,0.0,2.8459,0.0,0.0
5.0,0.0,2.84606,0.0,0.0
5.0,0.0,2.8459,0.0,0.0
5.0,0.0,2.84574,0.0,0.0
5.0,0.0,2.8459,0.0,0.0
5.0,0.0,2.8459,0.0,0.0
5.0,0.0,2.84574,0.0,0.0
5.0,0.0,2.84574,0.0,0.0
5.0,0.0,2.84574,0.0,0.0
5.0,0.0,2.84558,0.0,0.0
5.0,0.0,2.84541,0.0,0.0
5.0,0.0,2.84558,0.0,0.0
5.0,0.0,2.84525,0.0,0.0
5.0,0.0,2.84509,0.0,0.0
5.0,0.0,2.84525,0.0,0.0
5.0,0.0,2.84525,0.0,0.0
5.0,0.0,2.84574,0.0,0.0
5.0,0.0,2.84541,0.0,0.0
5.0,0.0,2.84558,0.0,0.0
5.0,0.0,2.84509,0.0,0.0
5.0,0.0,2.84541,0.0,0.0
5.0,0.0,2.84493,0.0,0.0
5.0,0.0,2.84493,0.0,0.0
5.0,0.0,2.84509,0.0,0.0
5.0,0.0,2.84493,0.0,0.0
5.0,0.0,2.84493,0.0,0.0
5.0,0.0,2.84493,0.0,0.0
5.0,0.0,2.84509,0.0,0.0
5.0,0.0,2.84509,0.0,0.0
5.0,0.0,2.84493,0.0,0.0
5.0,0.0,2.84477,0.0,0.0
5.0,0.0,2.84493,0.0,0.0
5.0,0.0,2.84477,0.0,0.0
5.0,0.0,2.84461,0.0,0.0
5.0,0.0,2.84477,0.0,0.0
5.0,0.0,2.84461,0.0,0.0
5.0,0.0,2.84444,0.0,0.0
5.0,0.0,2.84461,0.0,0.0
5.0,0.0,2.84477,0.0,0.0
5.0,0.0,2.84461,0.0,0.0
5.0,0.0,2.84493,0.0,0.0
5.0,0.0,2.84477,0.0,0.0
5.0,0.0,2.84477,0.0,0.0
5.0,0.0,2.84493,0.0,0.0
5.0,0.0,2.84477,0.0,0.0
5.0,0.0,2.84477,0.0,0.0
5.0,0.0,2.84509,0.0,0.0
5.0,0.0,2.84444,0.0,0.0
5.0,0.0,2.84461,0.0,0.0
5.0,0.0,2.84477,0.0,0.0
5.0,0.0,2.84444,0.0,0.0
5.0,0.0,2.84477,0.0,0.0
5.0,0.0,2.84477,0.0,0.0
5.0,0.0,2.84461,0.0,0.0
5.0,0.0,2.84461,0.0,0.0
5.0,0.0,2.84477,0.0,0.0
5.0,0.0,2.84444,0.0,0.0
5.0,0.0,2.84444,0.0,0.0
5.0,0.0,2.84444,0.0,0.0
5.0,0.0,2.84444,0.0,0.0
5.0,0.0,2.84444,0.0,0.0
5.0,0.0,2.84461,0.0,0.0
5.0,0.0,2.84444,0.0,0.0
5.0,0.0,2.84477,0.0,0.0
5.0,0.0,2.84444,0.0,0.0
5.0,0.0,2.84444,0.0,0.0
5.0,0.0,2.84428,0.0,0.0
5.0,0.0,2.84412,0.0,0.0
5.0,0.0,2.84428,0.0,0.0
5.0,0.0,2.84428,0.0,0.0
5.0,0.0,2.84428,0.0,0.0
5.0,0.0,2.84428,0.0,0.0
5.0,0.0,2.84444,0.0,0.0
5.0,0.0,2.84412,0.0,0.0
5.0,0.0,2.84396,0.0,0.0
5.0,0.0,2.84412,0.0,0.0
5.0,0.0,2.84412,0.0,0.0
5.0,0.0,2.84444,0.0,0.0
5.0,0.0,2.84428,0.0,0.0
5.0,0.0,2.84428,0.0,0.0
5.0,0.0,2.84428,0.0,0.0
5.0,0.0,2.84364,0.0,0.0
5.0,0.0,2.84396,0.0,0.0
5.0,0.0,2.84396,0.0,0.0
5.0,0.0,2.84396,0.0,0.0
5.0,0.0,2.84396,0.0,0.0
5.0,0.0,2.84396,0.0,0.0
5.0,0.0,2.84396,0.0,0.0
5.0,0.0,2.84396,0.0,0.0
5.0,0.0,2.84412,0.0,0.0
5.0,0.0,2.84396,0.0,0.0
