Step,Current,VCell1,AhCha,AhDch
2.0,0.0,2.89003,0.0,0.0
5.0,0.0,2.89019,0.0,0.0
5.0,0.0,2.88986,0.0,0.0
5.0,0.0,2.89003,0.0,0.0
5.0,0.0,2.89003,0.0,0.0
5.0,0.0,2.88986,0.0,0.0
5.0,0.0,2.89003,0.0,0.0
5.0,0.0,2.88986,0.0,0.0
5.0,0.0,2.8897,0.0,0.0
5.0,0.0,2.88986,0.0,0.0
5.0,0.0,2.88986,0.0,0.0
5.0,0.0,2.89003,0.0,0.0
5.0,0.0,2.88986,0.0,0.0
5.0,0.0,2.88986,0.0,0.0
5.0,0.0,2.89019,0.0,0.0
5.0,0.0,2.89019,0.0,0.0
5.0,0.0,2.89035,0.0,0.0
5.0,0.0,2.89019,0.0,0.0
5.0,0.0,2.89019,0.0,0.0
5.0,0.0,2.89019,0.0,0.0
5.0,0.0,2.89003,0.0,0.0
5.0,0.0,2.88986,0.0,0.0
5.0,0.0,2.88986,0.0,0.0
5.0,0.0,2.89003,0.0,0.0
5.0,0.0,2.89019,0.0,0.0
5.0,0.0,2.89003,0.0,0.0
5.0,0.0,2.89019,0.0,0.0
5.0,0.0,2.89035,0.0,0.0
5.0,0.0,2.89035,0.0,0.0
5.0,0.0,2.89035,0.0,0.0
5.0,0.0,2.89051,0.0,0.0
5.0,0.0,2.89035,0.0,0.0
5.0,0.0,2.89035,0.0,0.0
5.0,0.0,2.89051,0.0,0.0
5.0,0.0,2.89051,0.0,0.0
5.0,0.0,2.89019,0.0,0.0
5.0,0.0,2.89051,0.0,0.0
5.0,0.0,2.89051,0.0,0.0
5.0,0.0,2.89083,0.0,0.0
5.0,0.0,2.89067,0.0,0.0
5.0,0.0,2.89083,0.0,0.0
5.0,0.0,2.89099,0.0,0.0
5.0,0.0,2.89116,0.0,0.0
5.0,0.0,2.89067,0.0,0.0
5.0,0.0,2.89067,0.0,0.0
5.0,0.0,2.89083,0.0,0.0
5.0,0.0,2.89083,0.0,0.0
5.0,0.0,2.89083,0.0,0.0
5.0,0.0,2.89083,0.0,0.0
5.0,0.0,2.89083,0.0,0.0
5.0,0.0,2.89116,0.0,0.0
5.0,0.0,2.89099,0.0,0.0
5.0,0.0,2.89099,0.0,0.0
5.0,0.0,2.89083,0.0,0.0
5.0,0.0,2.89099,0.0,0.0
5.0,0.0,2.89132,0.0,0.0
5.0,0.0,2.89132,0.0,0.0
5.0,0.0,2.89148,0.0,0.0
5.0,0.0,2.89116,0.0,0.0
5.0,0.0,2.89132,0.0,0.0
5.0,0.0,2.89116,0.0,0.0
5.0,0.0,2.89164,0.0,0.0
5.0,0.0,2.89164,0.0,0.0
5.0,0.0,2.89164,0.0,0.0
5.0,0.0,2.8918,0.0,0.0
5.0,0.0,2.8918,0.0,0.0
5.0,0.0,2.89148,0.0,0.0
5.0,0.0,2.89164,0.0,0.0
5.0,0.0,2.89148,0.0,0.0
5.0,0.0,2.89196,0.0,0.0
5.0,0.0,2.89196,0.0,0.0
5.0,0.0,2.89213,0.0,0.0
5.0,0.0,2.89164,0.0,0.0
5.0,0.0,2.89196,0.0,0.0
5.0,0.0,2.8918,0.0,0.0
5.0,0.0,2.89213,0.0,0.0
5.0,0.0,2.89229,0.0,0.0
5.0,0.0,2.89196,0.0,0.0
5.0,0.0,2.89229,0.0,0.0
5.0,0.0,2.89196,0.0,0.0
5.0,0.0,2.89245,0.0,0.0
5.0,0.0,2.89245,0.0,0.0
5.0,0.0,2.89245,0.0,0.0
5.0,0.0,2.89261,0.0,0.0
5.0,0.0,2.89261,0.0,0.0
5.0,0.0,2.89261,0.0,0.0
5.0,0.0,2.89245,0.0,0.0
5.0,0.0,2.89261,0.0,0.0
5.0,0.0,2.89245,0.0,0.0
5.0,0.0,2.89293,0.0,0.0
5.0,0.0,2.8931,0.0,0.0
5.0,0.0,2.89277,0.0,0.0
5.0,0.0,2.89293,0.0,0.0
5.0,0.0,2.89293,0.0,0.0
5.0,0.0,2.89293,0.0,0.0
5.0,0.0,2.8931,0.0,0.0
5.0,0.0,2.89293,0.0,0.0
5.0,0.0,2.89326,0.0,0.0
5.0,0.0,2.89326,0.0,0.0
5.0,0.0,2.8931,0.0,0.0
5.0,0.0,2.89342,0.0,0.0
5.0,0.0,2.89326,0.0,0.0
5.0,0.0,2.89342,0.0,0.0
5.0,0.0,2.89374,0.0,0.0
5.0,0.0,2.89326,0.0,0.0
5.0,0.0,2.89326,0.0,0.0
5.0,0.0,2.89358,0.0,0.0
5.0,0.0,2.89374,0.0,0.0
5.0,0.0,2.89358,0.0,0.0
5.0,0.0,2.89358,0.0,0.0
5.0,0.0,2.89374,0.0,0.0
5.0,0.0,2.89374,0.0,0.0
5.0,0.0,2.89374,0.0,0.0
5.0,0.0,2.89358,0.0,0.0
5.0,0.0,2.89358,0.0,0.0
5.0,0.0,2.8939,0.0,0.0
5.0,0.0,2.8939,0.0,0.0
5.0,0.0,2.89423,0.0,0.0
5.0,0.0,2.8939,0.0,0.0
5.0,0.0,2.8939,0.0,0.0
5.0,0.0,2.89407,0.0,0.0
5.0,0.0,2.89423,0.0,0.0
5.0,0.0,2.89439,0.0,0.0
5.0,0.0,2.89407,0.0,0.0
5.0,0.0,2.89439,0.0,0.0
5.0,0.0,2.89439,0.0,0.0
5.0,0.0,2.89439,0.0,0.0
5.0,0.0,2.89455,0.0,0.0
5.0,0.0,2.89471,0.0,0.0
5.0,0.0,2.89487,0.0,0.0
5.0,0.0,2.89487,0.0,0.0
5.0,0.0,2.89487,0.0,0.0
5.0,0.0,2.89487,0.0,0.0
5.0,0.0,2.89487,0.0,0.0
5.0,0.0,2.89471,0.0,0.0
5.0,0.0,2.89439,0.0,0.0
5.0,0.0,2.89471,0.0,0.0
5.0,0.0,2.89487,0.0,0.0
5.0,0.0,2.89471,0.0,0.0
5.0,0.0,2.89487,0.0,0.0
5.0,0.0,2.89504,0.0,0.0
5.0,0.0,2.89504,0.0,0.0
5.0,0.0,2.8952,0.0,0.0
5.0,0.0,2.89487,0.0,0.0
5.0,0.0,2.8952,0.0,0.0
5.0,0.0,2.89504,0.0,0.0
5.0,0.0,2.89504,0.0,0.0
5.0,0.0,2.89536,0.0,0.0
5.0,0.0,2.89536,0.0,0.0
5.0,0.0,2.89536,0.0,0.0
5.0,0.0,2.89536,0.0,0.0
5.0,0.0,2.89552,0.0,0.0
5.0,0.0,2.89552,0.0,0.0
5.0,0.0,2.89536,0.0,0.0
5.0,0.0,2.89536,0.0,0.0
5.0,0.0,2.89568,0.0,0.0
5.0,0.0,2.89568,0.0,0.0
5.0,0.0,2.89584,0.0,0.0
5.0,0.0,2.89584,0.0,0.0
5.0,0.0,2.89601,0.0,0.0
5.0,0.0,2.89584,0.0,0.0
5.0,0.0,2.89584,0.0,0.0
5.0,0.0,2.89568,0.0,0.0
5.0,0.0,2.89617,0.0,0.0
5.0,0.0,2.89601,0.0,0.0
5.0,0.0,2.89617,0.0,0.0
5.0,0.0,2.89649,0.0,0.0
5.0,0.0,2.89633,0.0,0.0
5.0,0.0,2.89649,0.0,0.0
5.0,0.0,2.89633,0.0,0.0
5.0,0.0,2.89649,0.0,0.0
5.0,0.0,2.89601,0.0,0.0
5.0,0.0,2.89617,0.0,0.0
5.0,0.0,2.89649,0.0,0.0
5.0,0.0,2.89633,0.0,0.0
5.0,0.0,2.89633,0.0,0.0
5.0,0.0,2.89633,0.0,0.0
5.0,0.0,2.89649,0.0,0.0
5.0,0.0,2.89649,0.0,0.0
5.0,0.0,2.89681,0.0,0.0
5.0,0.0,2.89665,0.0,0.0
5.0,0.0,2.89681,0.0,0.0
5.0,0.0,2.89698,0.0,0.0
5.0,0.0,2.89714,0.0,0.0
5.0,0.0,2.89698,0.0,0.0
5.0,0.0,2.89714,0.0,0.0
5.0,0.0,2.89698,0.0,0.0
5.0,0.0,2.89714,0.0,0.0
5.0,0.0,2.89714,0.0,0.0
5.0,0.0,2.89714,0.0,0.0
5.0,0.0,2.89714,0.0,0.0
5.0,0.0,2.89746,0.0,0.0
5.0,0.0,2.89714,0.0,0.0
5.0,0.0,2.89714,0.0,0.0
5.0,0.0,2.89714,0.0,0.0
5.0,0.0,2.89714,0.0,0.0
5.0,0.0,2.89714,0.0,0.0
5.0,0.0,2.8973,0.0,0.0
5.0,0.0,2.89746,0.0,0.0
5.0,0.0,2.8973,0.0,0.0
5.0,0.0,2.8973,0.0,0.0
5.0,0.0,2.89714,0.0,0.0
5.0,0.0,2.89762,0.0,0.0
5.0,0.0,2.8973,0.0,0.0
5.0,0.0,2.89762,0.0,0.0
5.0,0.0,2.89762,0.0,0.0
5.0,0.0,2.89795,0.0,0.0
5.0,0.0,2.89762,0.0,0.0
5.0,0.0,2.89778,0.0,0.0
5.0,0.0,2.89762,0.0,0.0
5.0,0.0,2.89778,0.0,0.0
5.0,0.0,2.89795,0.0,0.0
5.0,0.0,2.89811,0.0,0.0
5.0,0.0,2.89795,0.0,0.0
5.0,0.0,2.89795,0.0,0.0
5.0,0.0,2.89778,0.0,0.0
5.0,0.0,2.89795,0.0,0.0
5.0,0.0,2.89778,0.0,0.0
5.0,0.0,2.89795,0.0,0.0
5.0,0.0,2.89827,0.0,0.0
5.0,0.0,2.89827,0.0,0.0
5.0,0.0,2.89778,0.0,0.0
5.0,0.0,2.89811,0.0,0.0
5.0,0.0,2.89827,0.0,0.0
5.0,0.0,2.89811,0.0,0.0
5.0,0.0,2.89843,0.0,0.0
5.0,0.0,2.89827,0.0,0.0
5.0,0.0,2.89843,0.0,0.0
5.0,0.0,2.89827,0.0,0.0
5.0,0.0,2.89827,0.0,0.0
5.0,0.0,2.89875,0.0,0.0
5.0,0.0,2.89859,0.0,0.0
5.0,0.0,2.89859,0.0,0.0
5.0,0.0,2.89875,0.0,0.0
5.0,0.0,2.89859,0.0,0.0
5.0,0.0,2.89843,0.0,0.0
5.0,0.0,2.89859,0.0,0.0
5.0,0.0,2.89843,0.0,0.0
5.0,0.0,2.89843,0.0,0.0
5.0,0.0,2.89875,0.0,0.0
5.0,0.0,2.89891,0.0,0.0
5.0,0.0,2.89908,0.0,0.0
5.0,0.0,2.89908,0.0,0.0
5.0,0.0,2.89908,0.0,0.0
5.0,0.0,2.89908,0.0,0.0
5.0,0.0,2.89875,0.0,0.0
5.0,0.0,2.89908,0.0,0.0
5.0,0.0,2.89908,0.0,0.0
5.0,0.0,2.89891,0.0,0.0
5.0,0.0,2.89891,0.0,0.0
5.0,0.0,2.89924,0.0,0.0
5.0,0.0,2.89908,0.0,0.0
5.0,0.0,2.89908,0.0,0.0
5.0,0.0,2.89908,0.0,0.0
5.0,0.0,2.89891,0.0,0.0
5.0,0.0,2.8994,0.0,0.0
5.0,0.0,2.89924,0.0,0.0
5.0,0.0,2.8994,0.0,0.0
5.0,0.0,2.8994,0.0,0.0
5.0,0.0,2.8994,0.0,0.0
5.0,0.0,2.89956,0.0,0.0
5.0,0.0,2.8994,0.0,0.0
5.0,0.0,2.89956,0.0,0.0
5.0,0.0,2.8994,0.0,0.0
5.0,0.0,2.89956,0.0,0.0
5.0,0.0,2.89956,0.0,0.0
5.0,0.0,2.89972,0.0,0.0
5.0,0.0,2.89972,0.0,0.0
5.0,0.0,2.89972,0.0,0.0
5.0,0.0,2.89956,0.0,0.0
5.0,0.0,2.89956,0.0,0.0
5.0,0.0,2.89972,0.0,0.0
5.0,0.0,2.89972,0.0,0.0
5.0,0.0,2.89972,0.0,0.0
5.0,0.0,2.89988,0.0,0.0
5.0,0.0,2.89988,0.0,0.0
5.0,0.0,2.90005,0.0,0.0
5.0,0.0,2.89972,0.0,0.0
5.0,0.0,2.89988,0.0,0.0
5.0,0.0,2.89988,0.0,0.0
5.0,0.0,2.89972,0.0,0.0
5.0,0.0,2.90005,0.0,0.0
5.0,0.0,2.90005,0.0,0.0
5.0,0.0,2.90021,0.0,0.0
5.0,0.0,2.89988,0.0,0.0
5.0,0.0,2.89972,0.0,0.0
5.0,0.0,2.90005,0.0,0.0
5.0,0.0,2.90021,0.0,0.0
5.0,0.0,2.90005,0.0,0.0
5.0,0.0,2.89988,0.0,0.0
5.0,0.0,2.89988,0.0,0.0
5.0,0.0,2.90021,0.0,0.0
5.0,0.0,2.90005,0.0,0.0
5.0,0.0,2.90021,0.0,0.0
5.0,0.0,2.90005,0.0,0.0
5.0,0.0,2.90005,0.0,0.0
5.0,0.0,2.90005,0.0,0.0
5.0,0.0,2.90005,0.0,0.0
5.0,0.0,2.90021,0.0,0.0
5.0,0.0,2.90037,0.0,0.0
5.0,0.0,2.90005,0.0,0.0
5.0,0.0,2.90037,0.0,0.0
5.0,0.0,2.90053,0.0,0.0
5.0,0.0,2.90037,0.0,0.0
5.0,0.0,2.90037,0.0,0.0
5.0,0.0,2.90021,0.0,0.0
5.0,0.0,2.90037,0.0,0.0
5.0,0.0,2.90069,0.0,0.0
5.0,0.0,2.90021,0.0,0.0
5.0,0.0,2.90069,0.0,0.0
5.0,0.0,2.90037,0.0,0.0
5.0,0.0,2.90102,0.0,0.0
5.0,0.0,2.90069,0.0,0.0
5.0,0.0,2.90085,0.0,0.0
5.0,0.0,2.90037,0.0,0.0
5.0,0.0,2.90053,0.0,0.0
5.0,0.0,2.90102,0.0,0.0
5.0,0.0,2.90085,0.0,0.0
5.0,0.0,2.90085,0.0,0.0
5.0,0.0,2.90069,0.0,0.0
5.0,0.0,2.90069,0.0,0.0
5.0,0.0,2.90085,0.0,0.0
5.0,0.0,2.90085,0.0,0.0
5.0,0.0,2.90085,0.0,0.0
5.0,0.0,2.90102,0.0,0.0
5.0,0.0,2.90069,0.0,0.0
5.0,0.0,2.90102,0.0,0.0
5.0,0.0,2.90069,0.0,0.0
5.0,0.0,2.90069,0.0,0.0
5.0,0.0,2.90085,0.0,0.0
5.0,0.0,2.90085,0.0,0.0
5.0,0.0,2.90085,0.0,0.0
5.0,0.0,2.90118,0.0,0.0
5.0,0.0,2.90118,0.0,0.0
5.0,0.0,2.90085,0.0,0.0
5.0,0.0,2.90118,0.0,0.0
5.0,0.0,2.90118,0.0,0.0
5.0,0.0,2.90085,0.0,0.0
5.0,0.0,2.90118,0.0,0.0
5.0,0.0,2.90102,0.0,0.0
5.0,0.0,2.90102,0.0,0.0
5.0,0.0,2.90102,0.0,0.0
5.0,0.0,2.90118,0.0,0.0
5.0,0.0,2.90102,0.0,0.0
5.0,0.0,2.9015,0.0,0.0
5.0,0.0,2.90118,0.0,0.0
5.0,0.0,2.90118,0.0,0.0
5.0,0.0,2.90134,0.0,0.0
5.0,0.0,2.90134,0.0,0.0
5.0,0.0,2.9015,0.0,0.0
5.0,0.0,2.90118,0.0,0.0
5.0,0.0,2.9015,0.0,0.0
5.0,0.0,2.90134,0.0,0.0
5.0,0.0,2.90118,0.0,0.0
5.0,0.0,2.9015,0.0,0.0
5.0,0.0,2.90134,0.0,0.0
5.0,0.0,2.90134,0.0,0.0
5.0,0.0,2.9015,0.0,0.0
5.0,0.0,2.9015,0.0,0.0
5.0,0.0,2.9015,0.0,0.0
5.0,0.0,2.9015,0.0,0.0
5.0,0.0,2.90118,0.0,0.0
5.0,0.0,2.90134,0.0,0.0
5.0,0.0,2.90134,0.0,0.0
5.0,0.0,2.90134,0.0,0.0
5.0,0.0,2.9015,0.0,0.0
5.0,0.0,2.90134,0.0,0.0
5.0,0.0,2.9015,0.0,0.0
5.0,0.0,2.9015,0.0,0.0
5.0,0.0,2.90166,0.0,0.0
5.0,0.0,2.9015,0.0,0.0
5.0,0.0,2.90166,0.0,0.0
5.0,0.0,2.90134,0.0,0.0
5.0,0.0,2.90166,0.0,0.0
5.0,0.0,2.90166,0.0,0.0
5.0,0.0,2.90166,0.0,0.0
5.0,0.0,2.90182,0.0,0.0
5.0,0.0,2.90182,0.0,0.0
5.0,0.0,2.90182,0.0,0.0
5.0,0.0,2.90182,0.0,0.0
5.0,0.0,2.90199,0.0,0.0
5.0,0.0,2.9015,0.0,0.0
5.0,0.0,2.90166,0.0,0.0
5.0,0.0,2.90182,0.0,0.0
5.0,0.0,2.90166,0.0,0.0
5.0,0.0,2.90182,0.0,0.0
5.0,0.0,2.9015,0.0,0.0
5.0,0.0,2.90182,0.0,0.0
5.0,0.0,2.90166,0.0,0.0
5.0,0.0,2.90166,0.0,0.0
5.0,0.0,2.90215,0.0,0.0
5.0,0.0,2.90199,0.0,0.0
5.0,0.0,2.90166,0.0,0.0
5.0,0.0,2.90182,0.0,0.0
5.0,0.0,2.90166,0.0,0.0
5.0,0.0,2.90231,0.0,0.0
5.0,0.0,2.90199,0.0,0.0
5.0,0.0,2.90182,0.0,0.0
5.0,0.0,2.90199,0.0,0.0
5.0,0.0,2.90215,0.0,0.0
5.0,0.0,2.90215,0.0,0.0
5.0,0.0,2.90166,0.0,0.0
5.0,0.0,2.90199,0.0,0.0
5.0,0.0,2.90182,0.0,0.0
5.0,0.0,2.90182,0.0,0.0
5.0,0.0,2.90215,0.0,0.0
5.0,0.0,2.90231,0.0,0.0
5.0,0.0,2.90182,0.0,0.0
5.0,0.0,2.90215,0.0,0.0
5.0,0.0,2.90231,0.0,0.0
5.0,0.0,2.90247,0.0,0.0
5.0,0.0,2.90215,0.0,0.0
5.0,0.0,2.90247,0.0,0.0
5.0,0.0,2.90199,0.0,0.0
5.0,0.0,2.90199,0.0,0.0
5.0,0.0,2.90215,0.0,0.0
5.0,0.0,2.90215,0.0,0.0
5.0,0.0,2.90199,0.0,0.0
5.0,0.0,2.90215,0.0,0.0
5.0,0.0,2.90199,0.0,0.0
5.0,0.0,2.90231,0.0,0.0
5.0,0.0,2.90231,0.0,0.0
5.0,0.0,2.90215,0.0,0.0
5.0,0.0,2.90231,0.0,0.0
5.0,0.0,2.90231,0.0,0.0
5.0,0.0,2.90231,0.0,0.0
5.0,0.0,2.90231,0.0,0.0
5.0,0.0,2.90247,0.0,0.0
5.0,0.0,2.90231,0.0,0.0
5.0,0.0,2.90231,0.0,0.0
5.0,0.0,2.90215,0.0,0.0
5.0,0.0,2.90247,0.0,0.0
5.0,0.0,2.90247,0.0,0.0
5.0,0.0,2.90231,0.0,0.0
5.0,0.0,2.90247,0.0,0.0
5.0,0.0,2.90247,0.0,0.0
5.0,0.0,2.90263,0.0,0.0
5.0,0.0,2.90263,0.0,0.0
5.0,0.0,2.90263,0.0,0.0
5.0,0.0,2.90247,0.0,0.0
5.0,0.0,2.90263,0.0,0.0
5.0,0.0,2.90263,0.0,0.0
5.0,0.0,2.90231,0.0,0.0
5.0,0.0,2.90231,0.0,0.0
5.0,0.0,2.90263,0.0,0.0
5.0,0.0,2.90263,0.0,0.0
5.0,0.0,2.90279,0.0,0.0
5.0,0.0,2.90247,0.0,0.0
5.0,0.0,2.90231,0.0,0.0
5.0,0.0,2.90263,0.0,0.0
5.0,0.0,2.90263,0.0,0.0
5.0,0.0,2.90263,0.0,0.0
5.0,0.0,2.90279,0.0,0.0
5.0,0.0,2.90247,0.0,0.0
5.0,0.0,2.90247,0.0,0.0
5.0,0.0,2.90231,0.0,0.0
5.0,0.0,2.90263,0.0,0.0
5.0,0.0,2.90263,0.0,0.0
5.0,0.0,2.90263,0.0,0.0
5.0,0.0,2.90296,0.0,0.0
5.0,0.0,2.90231,0.0,0.0
5.0,0.0,2.90231,0.0,0.0
5.0,0.0,2.90247,0.0,0.0
5.0,0.0,2.90247,0.0,0.0
5.0,0.0,2.90247,0.0,0.0
5.0,0.0,2.90263,0.0,0.0
5.0,0.0,2.90279,0.0,0.0
5.0,0.0,2.90279,0.0,0.0
5.0,0.0,2.90296,0.0,0.0
5.0,0.0,2.90296,0.0,0.0
5.0,0.0,2.90247,0.0,0.0
5.0,0.0,2.90263,0.0,0.0
5.0,0.0,2.90279,0.0,0.0
5.0,0.0,2.90263,0.0,0.0
5.0,0.0,2.90263,0.0,0.0
5.0,0.0,2.90263,0.0,0.0
5.0,0.0,2.90296,0.0,0.0
5.0,0.0,2.90296,0.0,0.0
5.0,0.0,2.90296,0.0,0.0
5.0,0.0,2.90296,0.0,0.0
5.0,0.0,2.90279,0.0,0.0
5.0,0.0,2.90296,0.0,0.0
5.0,0.0,2.90279,0.0,0.0
5.0,0.0,2.90328,0.0,0.0
5.0,0.0,2.90296,0.0,0.0
5.0,0.0,2.90312,0.0,0.0
5.0,0.0,2.90296,0.0,0.0
5.0,0.0,2.90263,0.0,0.0
5.0,0.0,2.90296,0.0,0.0
5.0,0.0,2.90263,0.0,0.0
5.0,0.0,2.90279,0.0,0.0
5.0,0.0,2.90296,0.0,0.0
5.0,0.0,2.90296,0.0,0.0
5.0,0.0,2.90312,0.0,0.0
5.0,0.0,2.90296,0.0,0.0
5.0,0.0,2.90279,0.0,0.0
5.0,0.0,2.90263,0.0,0.0
5.0,0.0,2.90296,0.0,0.0
5.0,0.0,2.90263,0.0,0.0
5.0,0.0,2.90312,0.0,0.0
5.0,0.0,2.90312,0.0,0.0
5.0,0.0,2.90328,0.0,0.0
5.0,0.0,2.90312,0.0,0.0
5.0,0.0,2.90312,0.0,0.0
5.0,0.0,2.90328,0.0,0.0
5.0,0.0,2.90296,0.0,0.0
5.0,0.0,2.90296,0.0,0.0
5.0,0.0,2.90328,0.0,0.0
5.0,0.0,2.90344,0.0,0.0
5.0,0.0,2.90312,0.0,0.0
5.0,0.0,2.90312,0.0,0.0
5.0,0.0,2.90328,0.0,0.0
5.0,0.0,2.90328,0.0,0.0
5.0,0.0,2.90328,0.0,0.0
5.0,0.0,2.90344,0.0,0.0
5.0,0.0,2.90312,0.0,0.0
5.0,0.0,2.90296,0.0,0.0
5.0,0.0,2.90312,0.0,0.0
5.0,0.0,2.90279,0.0,0.0
5.0,0.0,2.90312,0.0,0.0
5.0,0.0,2.90328,0.0,0.0
5.0,0.0,2.90312,0.0,0.0
5.0,0.0,2.90312,0.0,0.0
5.0,0.0,2.90344,0.0,0.0
5.0,0.0,2.90312,0.0,0.0
5.0,0.0,2.90344,0.0,0.0
5.0,0.0,2.90344,0.0,0.0
5.0,0.0,2.90296,0.0,0.0
5.0,0.0,2.90296,0.0,0.0
5.0,0.0,2.90296,0.0,0.0
5.0,0.0,2.90312,0.0,0.0
5.0,0.0,2.90328,0.0,0.0
5.0,0.0,2.90296,0.0,0.0
5.0,0.0,2.90296,0.0,0.0
5.0,0.0,2.90312,0.0,0.0
5.0,0.0,2.90312,0.0,0.0
5.0,0.0,2.90296,0.0,0.0
5.0,0.0,2.90344,0.0,0.0
5.0,0.0,2.90344,0.0,0.0
5.0,0.0,2.90328,0.0,0.0
5.0,0.0,2.90328,0.0,0.0
5.0,0.0,2.90312,0.0,0.0
5.0,0.0,2.90328,0.0,0.0
5.0,0.0,2.90312,0.0,0.0
5.0,0.0,2.90312,0.0,0.0
5.0,0.0,2.90312,0.0,0.0
5.0,0.0,2.90312,0.0,0.0
5.0,0.0,2.90312,0.0,0.0
5.0,0.0,2.90344,0.0,0.0
5.0,0.0,2.90312,0.0,0.0
5.0,0.0,2.90312,0.0,0.0
5.0,0.0,2.90328,0.0,0.0
5.0,0.0,2.90312,0.0,0.0
5.0,0.0,2.90328,0.0,0.0
5.0,0.0,2.90328,0.0,0.0
5.0,0.0,2.90344,0.0,0.0
5.0,0.0,2.90312,0.0,0.0
5.0,0.0,2.90328,0.0,0.0
5.0,0.0,2.90344,0.0,0.0
5.0,0.0,2.90344,0.0,0.0
5.0,0.0,2.90296,0.0,0.0
5.0,0.0,2.90328,0.0,0.0
5.0,0.0,2.90328,0.0,0.0
5.0,0.0,2.90328,0.0,0.0
5.0,0.0,2.90328,0.0,0.0
5.0,0.0,2.90328,0.0,0.0
5.0,0.0,2.90344,0.0,0.0
5.0,0.0,2.90344,0.0,0.0
5.0,0.0,2.90344,0.0,0.0
5.0,0.0,2.90344,0.0,0.0
5.0,0.0,2.90376,0.0,0.0
5.0,0.0,2.90312,0.0,0.0
5.0,0.0,2.90344,0.0,0.0
5.0,0.0,2.90312,0.0,0.0
5.0,0.0,2.90328,0.0,0.0
5.0,0.0,2.9036,0.0,0.0
5.0,0.0,2.90328,0.0,0.0
5.0,0.0,2.90328,0.0,0.0
5.0,0.0,2.90344,0.0,0.0
5.0,0.0,2.90328,0.0,0.0
5.0,0.0,2.90344,0.0,0.0
5.0,0.0,2.90344,0.0,0.0
5.0,0.0,2.90344,0.0,0.0
