Step,Current,VCell1,AhCha,AhDch
2.0,0.0,2.97181,0.0,0.0
4.0,0.0,2.97197,0.0,0.0
5.0,0.0,2.97214,0.0,0.0
5.0,0.0,2.97214,0.0,0.0
5.0,0.0,2.97214,0.0,0.0
5.0,0.0,2.97197,0.0,0.0
5.0,0.0,2.97214,0.0,0.0
5.0,0.0,2.97214,0.0,0.0
5.0,0.0,2.97214,0.0,0.0
5.0,0.0,2.97214,0.0,0.0
5.0,0.0,2.97197,0.0,0.0
5.0,0.0,2.97214,0.0,0.0
5.0,0.0,2.97214,0.0,0.0
5.0,0.0,2.97197,0.0,0.0
5.0,0.0,2.97214,0.0,0.0
5.0,0.0,2.97197,0.0,0.0
5.0,0.0,2.97181,0.0,0.0
5.0,0.0,2.97181,0.0,0.0
5.0,0.0,2.97181,0.0,0.0
5.0,0.0,2.97181,0.0,0.0
5.0,0.0,2.97181,0.0,0.0
5.0,0.0,2.97197,0.0,0.0
5.0,0.0,2.97197,0.0,0.0
5.0,0.0,2.97181,0.0,0.0
5.0,0.0,2.97197,0.0,0.0
5.0,0.0,2.97214,0.0,0.0
5.0,0.0,2.97181,0.0,0.0
5.0,0.0,2.97181,0.0,0.0
5.0,0.0,2.97181,0.0,0.0
5.0,0.0,2.97165,0.0,0.0
5.0,0.0,2.97181,0.0,0.0
5.0,0.0,2.97197,0.0,0.0
5.0,0.0,2.97214,0.0,0.0
5.0,0.0,2.97197,0.0,0.0
5.0,0.0,2.97214,0.0,0.0
5.0,0.0,2.97165,0.0,0.0
5.0,0.0,2.97165,0.0,0.0
5.0,0.0,2.97149,0.0,0.0
5.0,0.0,2.97181,0.0,0.0
5.0,0.0,2.97165,0.0,0.0
5.0,0.0,2.97181,0.0,0.0
5.0,0.0,2.97197,0.0,0.0
5.0,0.0,2.97165,0.0,0.0
5.0,0.0,2.97181,0.0,0.0
5.0,0.0,2.97165,0.0,0.0
5.0,0.0,2.97149,0.0,0.0
5.0,0.0,2.97149,0.0,0.0
5.0,0.0,2.97181,0.0,0.0
5.0,0.0,2.97165,0.0,0.0
5.0,0.0,2.97181,0.0,0.0
5.0,0.0,2.97165,0.0,0.0
5.0,0.0,2.97181,0.0,0.0
5.0,0.0,2.97181,0.0,0.0
5.0,0.0,2.97149,0.0,0.0
5.0,0.0,2.97165,0.0,0.0
5.0,0.0,2.97165,0.0,0.0
5.0,0.0,2.97165,0.0,0.0
5.0,0.0,2.97149,0.0,0.0
5.0,0.0,2.97165,0.0,0.0
5.0,0.0,2.97181,0.0,0.0
5.0,0.0,2.97149,0.0,0.0
5.0,0.0,2.97181,0.0,0.0
5.0,0.0,2.97133,0.0,0.0
5.0,0.0,2.97149,0.0,0.0
5.0,0.0,2.97117,0.0,0.0
5.0,0.0,2.97133,0.0,0.0
5.0,0.0,2.97117,0.0,0.0
5.0,0.0,2.97133,0.0,0.0
5.0,0.0,2.97165,0.0,0.0
5.0,0.0,2.97149,0.0,0.0
5.0,0.0,2.97165,0.0,0.0
5.0,0.0,2.97165,0.0,0.0
5.0,0.0,2.97149,0.0,0.0
5.0,0.0,2.97165,0.0,0.0
5.0,0.0,2.97149,0.0,0.0
5.0,0.0,2.97149,0.0,0.0
5.0,0.0,2.97149,0.0,0.0
