time,step,voltage,current,chgAh,disAh
0,2,3.68236,-0.0,0.0,0.0
1,2,3.68268,-0.0,0.0,0.0
2,3,3.68268,-0.0,0.0,0.0
3,3,3.68268,-0.0,0.0,0.0
4,4,3.68268,-0.0,0.0,0.0
5,4,3.68203,-0.0,0.0,0.0
6,4,3.6822,-0.0,0.0,0.0
7,4,3.68171,-0.0,0.0,0.0
8,4,3.68187,-0.0,0.0,0.0
9,4,3.68155,-0.0,0.0,0.0
10,4,3.68155,-0.0,0.0,0.0
11,4,3.68106,-0.0,0.0,0.0
12,4,3.6809,-0.0,0.0,0.0
13,4,3.68123,-0.0,0.0,0.0
14,4,3.68139,-0.0,0.0,0.0
15,4,3.68123,-0.0,0.0,0.0
16,4,3.68074,-0.0,0.0,0.0
17,4,3.68074,-0.0,0.0,0.0
18,4,3.68106,-0.0,0.0,0.0
19,4,3.6809,-0.0,0.0,0.0
20,4,3.6809,-0.0,0.0,0.0
21,4,3.68058,-0.0,0.0,0.0
22,4,3.6809,-0.0,0.0,0.0
23,4,3.6809,-0.0,0.0,0.0
24,4,3.68058,-0.0,0.0,0.0
25,4,3.68058,-0.0,0.0,0.0
26,4,3.68074,-0.0,0.0,0.0
27,4,3.6809,-0.0,0.0,0.0
28,4,3.6809,-0.0,0.0,0.0
29,4,3.68074,-0.0,0.0,0.0
30,4,3.68123,-0.0,0.0,0.0
31,4,3.68106,-0.0,0.0,0.0
32,4,3.68058,-0.0,0.0,0.0
33,4,3.68058,-0.0,0.0,0.0
34,4,3.68074,-0.0,0.0,0.0
35,4,3.68106,-0.0,0.0,0.0
36,4,3.6809,-0.0,0.0,0.0
37,4,3.68058,-0.0,0.0,0.0
38,4,3.6809,-0.0,0.0,0.0
39,4,3.68074,-0.0,0.0,0.0
40,4,3.68074,-0.0,0.0,0.0
41,4,3.68042,-0.0,0.0,0.0
42,4,3.68058,-0.0,0.0,0.0
43,4,3.6809,-0.0,0.0,0.0
44,4,3.68074,-0.0,0.0,0.0
45,4,3.68106,-0.0,0.0,0.0
46,4,3.6809,-0.0,0.0,0.0
47,4,3.68106,-0.0,0.0,0.0
48,4,3.6809,-0.0,0.0,0.0
49,4,3.68074,-0.0,0.0,0.0
50,4,3.68042,-0.0,0.0,0.0
