time,step,voltage,current,chgAh,disAh
0,2,3.19988,-0.0,0,0.0
1,3,3.20004,-0.0,0,0.0
2,4,3.20004,-0.0,0,0.0
3,4,3.20004,-0.0,0,0.0
4,4,3.19988,-0.0,0,0.0
5,4,3.19988,-0.0,0,0.0
6,5,3.20004,-0.0,0,0.0
7,5,3.20004,-0.0,0,0.0
8,5,3.2002,-0.0,0,0.0
9,5,3.20004,-0.0,0,0.0
10,5,3.2002,-0.0,0,0.0
11,5,3.20004,-0.0,0,0.0
12,5,3.2002,-0.0,0,0.0
13,5,3.2002,-0.0,0,0.0
14,5,3.20004,-0.0,0,0.0
15,5,3.2002,-0.0,0,0.0
16,5,3.2002,-0.0,0,0.0
17,5,3.20004,-0.0,0,0.0
18,5,3.20004,-0.0,0,0.0
19,5,3.20004,-0.0,0,0.0
20,5,3.2002,-0.0,0,0.0
21,5,3.2002,-0.0,0,0.0
22,5,3.2002,-0.0,0,0.0
23,5,3.2002,-0.0,0,0.0
24,5,3.20004,-0.0,0,0.0
25,5,3.2002,-0.0,0,0.0
26,5,3.20004,-0.0,0,0.0
27,5,3.2002,-0.0,0,0.0
28,5,3.2002,-0.0,0,0.0
29,5,3.20004,-0.0,0,0.0
30,5,3.20004,-0.0,0,0.0
31,5,3.20004,-0.0,0,0.0
32,5,3.20036,-0.0,0,0.0
33,5,3.2002,-0.0,0,0.0
34,5,3.20004,-0.0,0,0.0
35,5,3.19988,-0.0,0,0.0
36,5,3.19988,-0.0,0,0.0
37,5,3.19972,-0.0,0,0.0
38,5,3.19972,-0.0,0,0.0
39,5,3.19988,-0.0,0,0.0
40,5,3.19988,-0.0,0,0.0
41,5,3.19972,-0.0,0,0.0
42,5,3.20004,-0.0,0,0.0
43,5,3.20004,-0.0,0,0.0
44,5,3.19988,-0.0,0,0.0
45,5,3.19988,-0.0,0,0.0
46,5,3.19972,-0.0,0,0.0
47,5,3.19972,-0.0,0,0.0
48,5,3.19972,-0.0,0,0.0
49,5,3.19988,-0.0,0,0.0
50,5,3.19972,-0.0,0,0.0
51,5,3.19988,-0.0,0,0.0
52,5,3.20004,-0.0,0,0.0
53,5,3.20004,-0.0,0,0.0
54,5,3.2002,-0.0,0,0.0
55,5,3.2002,-0.0,0,0.0
56,5,3.20004,-0.0,0,0.0
57,5,3.20004,-0.0,0,0.0
58,5,3.20004,-0.0,0,0.0
59,5,3.2002,-0.0,0,0.0
60,5,3.20004,-0.0,0,0.0
61,5,3.20004,-0.0,0,0.0
62,5,3.20004,-0.0,0,0.0
63,5,3.20004,-0.0,0,0.0
64,5,3.20004,-0.0,0,0.0
65,5,3.20004,-0.0,0,0.0
66,5,3.19988,-0.0,0,0.0
67,5,3.20004,-0.0,0,0.0
68,5,3.19988,-0.0,0,0.0
69,5,3.19988,-0.0,0,0.0
70,5,3.19972,-0.0,0,0.0
71,5,3.19988,-0.0,0,0.0
72,5,3.19988,-0.0,0,0.0
73,5,3.19972,-0.0,0,0.0
74,5,3.19988,-0.0,0,0.0
75,5,3.19988,-0.0,0,0.0
76,5,3.19988,-0.0,0,0.0
77,5,3.19988,-0.0,0,0.0
78,5,3.20004,-0.0,0,0.0
79,5,3.20004,-0.0,0,0.0
80,5,3.20004,-0.0,0,0.0
81,5,3.2002,-0.0,0,0.0
82,5,3.2002,-0.0,0,0.0
83,5,3.2002,-0.0,0,0.0
84,5,3.20004,-0.0,0,0.0
85,5,3.2002,-0.0,0,0.0
86,5,3.20004,-0.0,0,0.0
87,5,3.2002,-0.0,0,0.0
88,5,3.2002,-0.0,0,0.0
89,5,3.20004,-0.0,0,0.0
90,5,3.20004,-0.0,0,0.0
91,5,3.20004,-0.0,0,0.0
92,5,3.20004,-0.0,0,0.0
93,5,3.2002,-0.0,0,0.0
94,5,3.2002,-0.0,0,0.0
95,5,3.19988,-0.0,0,0.0
96,5,3.19988,-0.0,0,0.0
97,5,3.19972,-0.0,0,0.0
98,5,3.19988,-0.0,0,0.0
99,5,3.19988,-0.0,0,0.0
100,5,3.20004,-0.0,0,0.0
101,5,3.20004,-0.0,0,0.0
102,5,3.2002,-0.0,0,0.0
103,5,3.20004,-0.0,0,0.0
104,5,3.19988,-0.0,0,0.0
105,5,3.19988,-0.0,0,0.0
106,5,3.19988,-0.0,0,0.0
107,5,3.20004,-0.0,0,0.0
108,5,3.20004,-0.0,0,0.0
109,5,3.2002,-0.0,0,0.0
110,5,3.20004,-0.0,0,0.0
111,5,3.20004,-0.0,0,0.0
112,5,3.20004,-0.0,0,0.0
113,5,3.2002,-0.0,0,0.0
114,5,3.2002,-0.0,0,0.0
115,5,3.20004,-0.0,0,0.0
116,5,3.19988,-0.0,0,0.0
117,5,3.19988,-0.0,0,0.0
118,5,3.20004,-0.0,0,0.0
119,5,3.20004,-0.0,0,0.0
120,5,3.19972,-0.0,0,0.0
121,5,3.20004,-0.0,0,0.0
122,5,3.20004,-0.0,0,0.0
123,5,3.20036,-0.0,0,0.0
124,5,3.20004,-0.0,0,0.0
125,5,3.2002,-0.0,0,0.0
126,5,3.2002,-0.0,0,0.0
127,5,3.19988,-0.0,0,0.0
128,5,3.19988,-0.0,0,0.0
129,5,3.19972,-0.0,0,0.0
130,5,3.20004,-0.0,0,0.0
131,5,3.20004,-0.0,0,0.0
132,5,3.19972,-0.0,0,0.0
133,5,3.19972,-0.0,0,0.0
134,5,3.19988,-0.0,0,0.0
135,5,3.20004,-0.0,0,0.0
136,5,3.20004,-0.0,0,0.0
137,5,3.2002,-0.0,0,0.0
138,5,3.20004,-0.0,0,0.0
139,5,3.20004,-0.0,0,0.0
140,5,3.20004,-0.0,0,0.0
141,5,3.20036,-0.0,0,0.0
142,5,3.20036,-0.0,0,0.0
143,5,3.2002,-0.0,0,0.0
144,5,3.19988,-0.0,0,0.0
145,5,3.19988,-0.0,0,0.0
146,5,3.19988,-0.0,0,0.0
147,5,3.20004,-0.0,0,0.0
148,5,3.2002,-0.0,0,0.0
149,5,3.20004,-0.0,0,0.0
150,5,3.19972,-0.0,0,0.0
151,5,3.19988,-0.0,0,0.0
152,5,3.19988,-0.0,0,0.0
153,5,3.20004,-0.0,0,0.0
154,5,3.2002,-0.0,0,0.0
155,5,3.2002,-0.0,0,0.0
156,5,3.2002,-0.0,0,0.0
157,5,3.2002,-0.0,0,0.0
158,5,3.20004,-0.0,0,0.0
159,5,3.20004,-0.0,0,0.0
160,5,3.20036,-0.0,0,0.0
161,5,3.2002,-0.0,0,0.0
162,5,3.20036,-0.0,0,0.0
163,5,3.20004,-0.0,0,0.0
164,5,3.20004,-0.0,0,0.0
165,5,3.19988,-0.0,0,0.0
166,5,3.20004,-0.0,0,0.0
167,5,3.19988,-0.0,0,0.0
168,5,3.2002,-0.0,0,0.0
169,5,3.19972,-0.0,0,0.0
170,5,3.19988,-0.0,0,0.0
171,5,3.2002,-0.0,0,0.0
172,5,3.2002,-0.0,0,0.0
173,5,3.2002,-0.0,0,0.0
174,5,3.20004,-0.0,0,0.0
175,5,3.20004,-0.0,0,0.0
176,5,3.2002,-0.0,0,0.0
177,5,3.2002,-0.0,0,0.0
178,5,3.2002,-0.0,0,0.0
179,5,3.20004,-0.0,0,0.0
180,5,3.19988,-0.0,0,0.0
181,5,3.20004,-0.0,0,0.0
182,5,3.20004,-0.0,0,0.0
183,5,3.2002,-0.0,0,0.0
184,5,3.2002,-0.0,0,0.0
185,5,3.20004,-0.0,0,0.0
186,5,3.19988,-0.0,0,0.0
187,5,3.20036,-0.0,0,0.0
188,5,3.20036,-0.0,0,0.0
189,5,3.2002,-0.0,0,0.0
190,5,3.2002,-0.0,0,0.0
191,5,3.20004,-0.0,0,0.0
192,5,3.2002,-0.0,0,0.0
193,5,3.20036,-0.0,0,0.0
194,5,3.20036,-0.0,0,0.0
195,5,3.20004,-0.0,0,0.0
196,5,3.19988,-0.0,0,0.0
197,5,3.19988,-0.0,0,0.0
198,5,3.20004,-0.0,0,0.0
199,5,3.2002,-0.0,0,0.0
200,5,3.2002,-0.0,0,0.0
201,5,3.20004,-0.0,0,0.0
202,5,3.19972,-0.0,0,0.0
203,5,3.19988,-0.0,0,0.0
204,5,3.2002,-0.0,0,0.0
205,5,3.2002,-0.0,0,0.0
206,5,3.2002,-0.0,0,0.0
207,5,3.20036,-0.0,0,0.0
208,5,3.20004,-0.0,0,0.0
209,5,3.2002,-0.0,0,0.0
210,5,3.2002,-0.0,0,0.0
211,5,3.2002,-0.0,0,0.0
212,5,3.2002,-0.0,0,0.0
213,5,3.19988,-0.0,0,0.0
214,5,3.19972,-0.0,0,0.0
215,5,3.19988,-0.0,0,0.0
216,5,3.20004,-0.0,0,0.0
217,5,3.19988,-0.0,0,0.0
218,5,3.19972,-0.0,0,0.0
219,5,3.19972,-0.0,0,0.0
220,5,3.20004,-0.0,0,0.0
221,5,3.20004,-0.0,0,0.0
222,5,3.20004,-0.0,0,0.0
223,5,3.2002,-0.0,0,0.0
224,5,3.19988,-0.0,0,0.0
225,5,3.20004,-0.0,0,0.0
226,5,3.20036,-0.0,0,0.0
227,5,3.20036,-0.0,0,0.0
228,5,3.20004,-0.0,0,0.0
229,5,3.19988,-0.0,0,0.0
230,5,3.19972,-0.0,0,0.0
231,5,3.20004,-0.0,0,0.0
232,5,3.20004,-0.0,0,0.0
233,5,3.20004,-0.0,0,0.0
234,5,3.19988,-0.0,0,0.0
235,5,3.19972,-0.0,0,0.0
236,5,3.20004,-0.0,0,0.0
237,5,3.20004,-0.0,0,0.0
238,5,3.19988,-0.0,0,0.0
239,5,3.20004,-0.0,0,0.0
240,5,3.19988,-0.0,0,0.0
241,5,3.2002,-0.0,0,0.0
242,5,3.2002,-0.0,0,0.0
243,5,3.20004,-0.0,0,0.0
244,5,3.19988,-0.0,0,0.0
245,5,3.19972,-0.0,0,0.0
246,5,3.19972,-0.0,0,0.0
247,5,3.19988,-0.0,0,0.0
248,5,3.20004,-0.0,0,0.0
249,5,3.20004,-0.0,0,0.0
250,5,3.19988,-0.0,0,0.0
251,5,3.19988,-0.0,0,0.0
252,5,3.19988,-0.0,0,0.0
253,5,3.20004,-0.0,0,0.0
254,5,3.2002,-0.0,0,0.0
255,5,3.20004,-0.0,0,0.0
256,5,3.20004,-0.0,0,0.0
257,5,3.20004,-0.0,0,0.0
258,5,3.20004,-0.0,0,0.0
259,5,3.20004,-0.0,0,0.0
260,5,3.2002,-0.0,0,0.0
261,5,3.20036,-0.0,0,0.0
262,5,3.2002,-0.0,0,0.0
263,5,3.2002,-0.0,0,0.0
264,5,3.20004,-0.0,0,0.0
265,5,3.20004,-0.0,0,0.0
266,5,3.20004,-0.0,0,0.0
267,5,3.20004,-0.0,0,0.0
268,5,3.19988,-0.0,0,0.0
269,5,3.19988,-0.0,0,0.0
270,5,3.19972,-0.0,0,0.0
271,5,3.2002,-0.0,0,0.0
272,5,3.2002,-0.0,0,0.0
273,5,3.2002,-0.0,0,0.0
274,5,3.20004,-0.0,0,0.0
275,5,3.19988,-0.0,0,0.0
276,5,3.2002,-0.0,0,0.0
277,5,3.2002,-0.0,0,0.0
278,5,3.19972,-0.0,0,0.0
279,5,3.19988,-0.0,0,0.0
280,5,3.20004,-0.0,0,0.0
281,5,3.19988,-0.0,0,0.0
282,5,3.20004,-0.0,0,0.0
283,5,3.20004,-0.0,0,0.0
284,5,3.19988,-0.0,0,0.0
285,5,3.19972,-0.0,0,0.0
286,5,3.19972,-0.0,0,0.0
287,5,3.19988,-0.0,0,0.0
288,5,3.20036,-0.0,0,0.0
289,5,3.2002,-0.0,0,0.0
290,5,3.20004,-0.0,0,0.0
291,5,3.20004,-0.0,0,0.0
292,5,3.20004,-0.0,0,0.0
293,5,3.19988,-0.0,0,0.0
294,5,3.2002,-0.0,0,0.0
295,5,3.20004,-0.0,0,0.0
296,5,3.2002,-0.0,0,0.0
297,5,3.2002,-0.0,0,0.0
298,5,3.20036,-0.0,0,0.0
299,5,3.2002,-0.0,0,0.0
300,5,3.2002,-0.0,0,0.0
301,5,3.20036,-0.0,0,0.0
302,5,3.2002,-0.0,0,0.0
303,5,3.2002,-0.0,0,0.0
304,5,3.19988,-0.0,0,0.0
305,5,3.19988,-0.0,0,0.0
306,5,3.19972,-0.0,0,0.0
307,5,3.19988,-0.0,0,0.0
308,5,3.19988,-0.0,0,0.0
309,5,3.19988,-0.0,0,0.0
310,5,3.20004,-0.0,0,0.0
311,5,3.20004,-0.0,0,0.0
312,5,3.2002,-0.0,0,0.0
313,5,3.2002,-0.0,0,0.0
314,5,3.20004,-0.0,0,0.0
315,5,3.20004,-0.0,0,0.0
316,5,3.19988,-0.0,0,0.0
317,5,3.19988,-0.0,0,0.0
318,5,3.19988,-0.0,0,0.0
319,5,3.19988,-0.0,0,0.0
320,5,3.19972,-0.0,0,0.0
321,5,3.19988,-0.0,0,0.0
322,5,3.19988,-0.0,0,0.0
323,5,3.20004,-0.0,0,0.0
324,5,3.20004,-0.0,0,0.0
325,5,3.19988,-0.0,0,0.0
326,5,3.2002,-0.0,0,0.0
327,5,3.20004,-0.0,0,0.0
328,5,3.2002,-0.0,0,0.0
329,5,3.2002,-0.0,0,0.0
330,5,3.2002,-0.0,0,0.0
331,5,3.2002,-0.0,0,0.0
332,5,3.20004,-0.0,0,0.0
333,5,3.2002,-0.0,0,0.0
334,5,3.2002,-0.0,0,0.0
335,5,3.2002,-0.0,0,0.0
336,5,3.20036,-0.0,0,0.0
