time,step,voltage,current,chgAh,disAh
0,2,3.65811,-0.0,0.0,0.0
1,2,3.65795,-0.0,0.0,0.0
2,3,3.65795,-0.0,0.0,0.0
3,3,3.65795,-0.0,0.0,0.0
4,4,3.65795,-0.0,0.0,0.0
5,4,3.65811,-0.0,0.0,0.0
6,4,3.65795,-0.0,0.0,0.0
7,4,3.65795,-0.0,0.0,0.0
8,4,3.65795,-0.0,0.0,0.0
9,4,3.65795,-0.0,0.0,0.0
10,4,3.65795,-0.0,0.0,0.0
11,4,3.65795,-0.0,0.0,0.0
12,4,3.65763,-0.0,0.0,0.0
13,4,3.65779,-0.0,0.0,0.0
14,4,3.65747,-0.0,0.0,0.0
15,4,3.65747,-0.0,0.0,0.0
16,4,3.65714,-0.0,0.0,0.0
17,4,3.65779,-0.0,0.0,0.0
18,4,3.65714,-0.0,0.0,0.0
19,4,3.6573,-0.0,0.0,0.0
20,4,3.65714,-0.0,0.0,0.0
21,4,3.65714,-0.0,0.0,0.0
22,4,3.65714,-0.0,0.0,0.0
23,4,3.65714,-0.0,0.0,0.0
24,4,3.65714,-0.0,0.0,0.0
25,4,3.65698,-0.0,0.0,0.0
26,4,3.65698,-0.0,0.0,0.0
27,4,3.65666,-0.0,0.0,0.0
28,4,3.65682,-0.0,0.0,0.0
29,4,3.65698,-0.0,0.0,0.0
30,4,3.6565,-0.0,0.0,0.0
31,4,3.65682,-0.0,0.0,0.0
32,4,3.65682,-0.0,0.0,0.0
33,4,3.65601,-0.0,0.0,0.0
34,4,3.65617,-0.0,0.0,0.0
35,4,3.6565,-0.0,0.0,0.0
36,4,3.65617,-0.0,0.0,0.0
37,4,3.65633,-0.0,0.0,0.0
38,4,3.65601,-0.0,0.0,0.0
39,4,3.65601,-0.0,0.0,0.0
40,4,3.65633,-0.0,0.0,0.0
41,4,3.65601,-0.0,0.0,0.0
42,4,3.65617,-0.0,0.0,0.0
43,4,3.65601,-0.0,0.0,0.0
44,4,3.65601,-0.0,0.0,0.0
45,4,3.65569,-0.0,0.0,0.0
46,4,3.65585,-0.0,0.0,0.0
47,4,3.65585,-0.0,0.0,0.0
48,4,3.65536,-0.0,0.0,0.0
49,4,3.65536,-0.0,0.0,0.0
50,4,3.65553,-0.0,0.0,0.0
51,4,3.65569,-0.0,0.0,0.0
52,4,3.65553,-0.0,0.0,0.0
53,4,3.65553,-0.0,0.0,0.0
54,4,3.65536,-0.0,0.0,0.0
55,4,3.6552,-0.0,0.0,0.0
56,4,3.65536,-0.0,0.0,0.0
57,4,3.65488,-0.0,0.0,0.0
58,4,3.65504,-0.0,0.0,0.0
59,4,3.65488,-0.0,0.0,0.0
60,4,3.6552,-0.0,0.0,0.0
61,4,3.65504,-0.0,0.0,0.0
62,4,3.65504,-0.0,0.0,0.0
63,4,3.65488,-0.0,0.0,0.0
64,4,3.65472,-0.0,0.0,0.0
65,4,3.65488,-0.0,0.0,0.0
66,4,3.65472,-0.0,0.0,0.0
